
> max-stoich@1.0.0-rc.1 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.7.253:3000
- Environments: .env.local
✓ Ready in 378ms

 GET /workspace 200 in 462ms (next.js: 69ms, proxy.ts: 47ms, application-code: 346ms)
 GET /settings 200 in 901ms (next.js: 63ms, proxy.ts: 32ms, application-code: 806ms)
 GET /workspace 200 in 732ms (next.js: 61ms, proxy.ts: 50ms, application-code: 621ms)
 GET /workspace 200 in 699ms (next.js: 93ms, proxy.ts: 50ms, application-code: 556ms)
 GET /print?job=0eb4b4b5-597b-43da-8276-c470e7a99499 200 in 707ms (next.js: 132ms, proxy.ts: 50ms, application-code: 525ms)
 GET /workspace 200 in 695ms (next.js: 150ms, proxy.ts: 92ms, application-code: 454ms)
 GET / 200 in 642ms (next.js: 91ms, proxy.ts: 127ms, application-code: 424ms)
 GET / 200 in 551ms (next.js: 102ms, proxy.ts: 82ms, application-code: 368ms)
 GET / 200 in 478ms (next.js: 31ms, proxy.ts: 28ms, application-code: 418ms)
 GET /workspace 200 in 489ms (next.js: 42ms, proxy.ts: 64ms, application-code: 383ms)
 GET / 200 in 742ms (next.js: 51ms, proxy.ts: 46ms, application-code: 646ms)
 GET / 200 in 738ms (next.js: 56ms, proxy.ts: 58ms, application-code: 625ms)
 GET / 200 in 600ms (next.js: 40ms, proxy.ts: 37ms, application-code: 523ms)
 GET /compare 200 in 683ms (next.js: 64ms, proxy.ts: 132ms, application-code: 488ms)
 GET /print?job=print-letter-2-3-portrait 200 in 645ms (next.js: 72ms, proxy.ts: 64ms, application-code: 509ms)
 GET /print?job=print-letter-4-3-portrait 200 in 646ms (next.js: 90ms, proxy.ts: 64ms, application-code: 492ms)
 GET / 200 in 631ms (next.js: 56ms, proxy.ts: 39ms, application-code: 536ms)
 GET / 200 in 628ms (next.js: 78ms, proxy.ts: 96ms, application-code: 454ms)
 GET /print?job=print-letter-6-2-portrait 200 in 477ms (next.js: 43ms, proxy.ts: 34ms, application-code: 400ms)
 GET / 200 in 479ms (next.js: 61ms, proxy.ts: 39ms, application-code: 379ms)
 GET /settings 200 in 449ms (next.js: 34ms, proxy.ts: 48ms, application-code: 367ms)
 GET / 200 in 732ms (next.js: 46ms, proxy.ts: 65ms, application-code: 620ms)
 GET /print?job=print-letter-2-3-landscape 200 in 725ms (next.js: 83ms, proxy.ts: 35ms, application-code: 607ms)
 GET / 200 in 745ms (next.js: 139ms, proxy.ts: 37ms, application-code: 569ms)
 GET /print?job=print-letter-4-3-landscape 200 in 669ms (next.js: 55ms, proxy.ts: 123ms, application-code: 491ms)
 GET / 200 in 557ms (next.js: 36ms, proxy.ts: 40ms, application-code: 480ms)
 GET /print?job=print-letter-6-2-landscape 200 in 509ms (next.js: 59ms, proxy.ts: 50ms, application-code: 401ms)
 GET / 200 in 635ms (next.js: 83ms, proxy.ts: 50ms, application-code: 502ms)
 GET /print?job=print-a4-2-3-portrait 200 in 841ms (next.js: 41ms, proxy.ts: 35ms, application-code: 764ms)
 GET /print?job=print-a4-4-3-portrait 200 in 826ms (next.js: 91ms, proxy.ts: 93ms, application-code: 642ms)
 GET /print?job=print-a4-6-2-portrait 200 in 709ms (next.js: 49ms, proxy.ts: 83ms, application-code: 577ms)
 GET / 200 in 665ms (next.js: 107ms, proxy.ts: 45ms, application-code: 513ms)
 GET / 200 in 578ms (next.js: 57ms, proxy.ts: 106ms, application-code: 416ms)
 GET / 200 in 529ms (next.js: 46ms, proxy.ts: 45ms, application-code: 438ms)
 GET /print?job=print-a4-2-3-landscape 200 in 886ms (next.js: 50ms, proxy.ts: 39ms, application-code: 797ms)
 GET /print?job=print-a4-4-3-landscape 200 in 971ms (next.js: 81ms, proxy.ts: 124ms, application-code: 766ms)
 GET /print?job=print-a4-6-2-landscape 200 in 863ms (next.js: 90ms, proxy.ts: 109ms, application-code: 665ms)
 GET / 200 in 757ms (next.js: 60ms, proxy.ts: 120ms, application-code: 576ms)
 GET /labs 200 in 657ms (next.js: 109ms, proxy.ts: 86ms, application-code: 462ms)
 GET /print?job=print-letter-6-14-landscape 200 in 611ms (next.js: 112ms, proxy.ts: 69ms, application-code: 430ms)
 GET /labs/invitations/accept?token=test-token 200 in 565ms (next.js: 75ms, proxy.ts: 65ms, application-code: 425ms)
 GET /print?job=print-a4-6-2-landscape 200 in 1037ms (next.js: 28ms, proxy.ts: 482ms, application-code: 527ms)
 GET /print?job=print-letter-4-3-landscape 200 in 579ms (next.js: 70ms, proxy.ts: 17ms, application-code: 492ms)
 GET /workspace 200 in 579ms (next.js: 110ms, proxy.ts: 19ms, application-code: 450ms)
 GET /workspace 200 in 581ms (next.js: 94ms, proxy.ts: 19ms, application-code: 469ms)
 GET /workspace 200 in 581ms (next.js: 137ms, proxy.ts: 22ms, application-code: 422ms)
 GET /workspace 200 in 583ms (next.js: 125ms, proxy.ts: 20ms, application-code: 438ms)
 GET /print?job=print-letter-4-2-portrait 200 in 352ms (next.js: 27ms, proxy.ts: 30ms, application-code: 295ms)
 GET /workspace 200 in 723ms (next.js: 76ms, proxy.ts: 21ms, application-code: 627ms)
 GET /print?job=print-letter-6-2-portrait 200 in 731ms (next.js: 61ms, proxy.ts: 150ms, application-code: 520ms)
 GET /workspace 200 in 563ms (next.js: 71ms, proxy.ts: 69ms, application-code: 423ms)
 GET /workspace 200 in 568ms (next.js: 55ms, proxy.ts: 69ms, application-code: 445ms)
 GET /workspace 200 in 563ms (next.js: 88ms, proxy.ts: 75ms, application-code: 400ms)
 GET /workspace 200 in 359ms (next.js: 31ms, proxy.ts: 38ms, application-code: 290ms)
 GET /compare 200 in 517ms (next.js: 38ms, proxy.ts: 74ms, application-code: 405ms)
 GET /compare 200 in 514ms (next.js: 112ms, proxy.ts: 72ms, application-code: 330ms)
 GET /compare 200 in 520ms (next.js: 78ms, proxy.ts: 73ms, application-code: 369ms)
 GET /settings 200 in 474ms (next.js: 141ms, proxy.ts: 24ms, application-code: 308ms)
 GET /workspace 200 in 721ms (next.js: 32ms, proxy.ts: 41ms, application-code: 647ms)
 GET /workspace 200 in 406ms (next.js: 56ms, proxy.ts: 67ms, application-code: 283ms)
 GET /settings 200 in 285ms (next.js: 20ms, proxy.ts: 14ms, application-code: 251ms)
 GET /settings 200 in 293ms (next.js: 71ms, proxy.ts: 13ms, application-code: 208ms)
 GET /workspace 200 in 427ms (next.js: 30ms, proxy.ts: 71ms, application-code: 325ms)
 GET /settings 200 in 419ms (next.js: 80ms, proxy.ts: 20ms, application-code: 319ms)
 GET /workspace 200 in 488ms (next.js: 87ms, proxy.ts: 26ms, application-code: 375ms)
 GET /compare 200 in 422ms (next.js: 110ms, proxy.ts: 39ms, application-code: 272ms)
 GET /compare 200 in 428ms (next.js: 81ms, proxy.ts: 39ms, application-code: 308ms)
 GET /workspace 200 in 708ms (next.js: 23ms, proxy.ts: 21ms, application-code: 664ms)
 GET /compare 200 in 359ms (next.js: 34ms, proxy.ts: 112ms, application-code: 213ms)
 GET /workspace 200 in 527ms (next.js: 33ms, proxy.ts: 65ms, application-code: 429ms)
 GET /workspace 200 in 333ms (next.js: 66ms, proxy.ts: 26ms, application-code: 241ms)
 GET /workspace 200 in 997ms (next.js: 57ms, proxy.ts: 26ms, application-code: 914ms)
 GET /workspace 200 in 911ms (next.js: 71ms, proxy.ts: 107ms, application-code: 732ms)
 GET /settings 200 in 915ms (next.js: 116ms, proxy.ts: 105ms, application-code: 694ms)
 GET /workspace 200 in 829ms (next.js: 226ms, proxy.ts: 40ms, application-code: 563ms)
 GET /workspace 200 in 482ms (next.js: 56ms, proxy.ts: 85ms, application-code: 341ms)
 GET /workspace 200 in 349ms (next.js: 36ms, proxy.ts: 47ms, application-code: 267ms)
 GET /workspace 200 in 584ms (next.js: 44ms, proxy.ts: 50ms, application-code: 490ms)
 GET /workspace 200 in 614ms (next.js: 75ms, proxy.ts: 83ms, application-code: 455ms)
 GET /workspace 200 in 478ms (next.js: 32ms, proxy.ts: 43ms, application-code: 402ms)
 GET /workspace 200 in 408ms (next.js: 34ms, proxy.ts: 47ms, application-code: 327ms)
 GET /workspace 200 in 345ms (next.js: 28ms, proxy.ts: 53ms, application-code: 264ms)
 GET /workspace 200 in 618ms (next.js: 36ms, proxy.ts: 21ms, application-code: 561ms)
 GET /workspace 200 in 515ms (next.js: 30ms, proxy.ts: 30ms, application-code: 455ms)
 GET /workspace 200 in 538ms (next.js: 92ms, proxy.ts: 32ms, application-code: 414ms)
